Url_path,Thumbnail,Title,Desc
https://www2.hm.com/en_us/productpage.1179898001.html,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F3d%2F16%2F3d16f18dae19981603d862ebb3e2558cc4136e02.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Crêped Wrap-front Dress,"Short dress in woven, crêped fabric with a sheen. Collar, V-neck, and wrapover front with wide ties at one side and narrow, concealed ties at other side. Covered elastic at back of waist, long sleeves, and wide cuffs with slit and button. Unlined."
https://www2.hm.com/en_us/productpage.1080623009.html,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F9b%2Fe2%2F9be2978c801a32a74dec416ca9a039c347912d7a.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bladies_basics_tops_vests%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B2%5D&call=url[file:/product/main],5-pack Camisole Tops,"Fitted, V-neck camisole tops in soft jersey with narrow shoulder straps."
https://www2.hm.com/en_us/productpage.1198530001.html,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fb4%2Fad%2Fb4ad3073d67bbe5de35d2ee770ec579ce47ccb35.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Rib-knit Cardigan,"Fitted cardigan in a fine rib knit. Round neckline, elegant faux pearl buttons at front, and extra-long sleeves with a thumbhole at cuffs."
https://www2.hm.com/en_us/productpage.1112962011.html,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F89%2Ff8%2F89f82a6401841af4dceca8dd058cc607de7de43b.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B2%5D&call=url[file:/product/main],Parachute Pants,"Relaxed-fit pants in crisp woven fabric with a regular waist. Drawstring at waistband with cord stopper. Diagonal side pockets, mock back pockets with flap, and wide legs with pleats at sides of knees for added volume. Elastic drawstring at hems with cord stopper."
https://www2.hm.com/en_us/productpage.1164762008.html,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fc5%2F3a%2Fc53aa86194c1bb944b7c07b4ebd32f6d59f311a8.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Ribbed Pencil Skirt,"Fitted, ankle-length skirt in ribbed jersey with a low waist. Straight-cut hem."
https://www2.hm.com/en_us/productpage.1199967001.html,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fcc%2F54%2Fcc54a85df97f68fa45c561927a791b58041d4934.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Slit-hem Bodycon Dress,"Short, fitted dress in soft jersey with a slight sheen. Round neckline with narrow trim, short sleeves, and a straight-cut hem with small slit at one side of front."
https://www2.hm.com/en_us/productpage.1174465003.html,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F7c%2F1b%2F7c1bcab79023cc5226a5b86a628055e7a7efb5f6.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Ribbed Dress,"Long, fitted dress in soft, ribbed, viscose-blend jersey. Narrow shoulder straps and a gently draped neckline."
https://www2.hm.com/en_us/productpage.1170231006.html,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F77%2F6d%2F776d919def77c92303c2710c36333bcc1ad7d45e.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],T-shirt Dress,"Loose-fit, calf-length T-shirt dress in soft viscose jersey. Slit at back of hem."
https://www2.hm.com/en_us/productpage.0963662085.html,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fd3%2Fb1%2Fd3b19cbff6968cd1a43cc1be0fc668e7f6eab7c9.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Cotton T-shirt,Straight-cut T-shirt in soft cotton jersey with ribbed crew neck and gently dropped shoulders.
https://www2.hm.com/en_us/productpage.1155486001.html,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fc8%2F44%2Fc8440e9c85943daf1aad65d58de23577fb2f3606.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bladies_divided_new_clothes%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Tapered-waist Shirt,"Slightly longer, fitted shirt in woven fabric. Collar, concealed buttons at front, and long sleeves with a slit at cuffs. Tapered waist with shaping seams at front and back for a defined silhouette. Gently rounded hem."
https://www2.hm.com/en_us/productpage.0579541001.html,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fff%2F25%2Fff25bc02e99d1a5b751a7f9dc8fd4c72c314b089.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bladies_cardigansjumpers_cardigans%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Fine-knit Cardigan,"Cardigan in a soft, fine-knit viscose blend with buttons at front and ribbing at neckline, cuffs, and hem."
https://www2.hm.com/en_us/productpage.0939703044.html,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fa5%2Fff%2Fa5ff3a142eeea060dbcea9b8b7e9339a5276e66b.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],V-neck Blouse,"V-neck blouse in woven fabric with a sheen. Collar, buttons at front, and long sleeves with a sleeve placket and button at cuffs. Rounded hem."
https://www2.hm.com/en_us/productpage.1156756006.html,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F7f%2F17%2F7f1712622ba6b1be12ab4203687c68c66c81dfb4.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Tie-belt Dress,"Short dress in woven fabric. Round neckline, and opening at top with a concealed button, and 3/4-length raglan balloon sleeves with narrow elastic at cuffs. Narrow, removable tie belt at waist and a gently flared skirt. Unlined."
