Url_path,Title,Desc
https://www2.hm.com/en_us/productpage.1163005001.html,Draped Thong Bodysuit,"Thong bodysuit in shiny jersey with side-seam gathers for a gently draped effect. Extra-narrow shoulder straps, square neckline, and deep armholes. Concealed snap fasteners at gusset. Lined at top."
https://www2.hm.com/en_us/productpage.1164574003.html,Pleated Chiffon Dress,"Short, sleeveless, pleated dress in crêped chiffon. Narrow cut at top with narrow straps, round neckline, and a low-cut keyhole opening at back of neck with a concealed button. Lined."
https://www2.hm.com/en_us/productpage.0971104020.html,Crop Pull-on Pants,"Ankle-length pants in softly draped, woven viscose fabric. High waist, covered elastic at waistband, and discreet side-seam pockets. Straight, wide legs."
https://www2.hm.com/en_us/productpage.1055982001.html,V-neck Linen Jersey T-shirt,Relaxed-fit T-shirt in soft linen jersey. V-neck at front and dropped shoulders.
https://www2.hm.com/en_us/productpage.1155258003.html,Flared Pants,"Pants in woven, viscose-blend fabric. Zip fly with button, diagonal side pockets, and gently flared hems."
https://www2.hm.com/en_us/productpage.1113296015.html,90s Baggy Low Jeans,"5-pocket jeans in non-stretch cotton denim that feels firm at first, softening and relaxing with wear. Loose fit from waist to hip and baggy fit from thigh to hem. Low waist and zip fly with button. Straight, longer legs, designed to fall over foot with a stacking effect. The denim update your wardrobe needs."
https://www2.hm.com/en_us/productpage.1155258003.html,Flared Pants,"Pants in woven, viscose-blend fabric. Zip fly with button, diagonal side pockets, and gently flared hems."
https://www2.hm.com/en_us/productpage.1113296015.html,90s Baggy Low Jeans,"5-pocket jeans in non-stretch cotton denim that feels firm at first, softening and relaxing with wear. Loose fit from waist to hip and baggy fit from thigh to hem. Low waist and zip fly with button. Straight, longer legs, designed to fall over foot with a stacking effect. The denim update your wardrobe needs."
https://www2.hm.com/en_us/productpage.1128496001.html,Ribbed Cotton Tank Top,"Tank top in soft cotton jersey. Round, low-cut neckline and a straight-cut hem."
https://www2.hm.com/en_us/productpage.1147610004.html,Mom High Denim Shorts,"5-pocket shorts in washed denim. High waist, zip fly with button, and slightly wider legs with foldover cuffs."
https://www2.hm.com/en_us/productpage.1147452002.html,High Denim Shorts,"5-pocket shorts in thick cotton denim. High waist, button fly, and raw-edge hems."
https://www2.hm.com/en_us/productpage.1161751003.html,Blouse with Tie Detail,"Short blouse in woven, textured fabric. Collar, V-shaped neckline, wide, elbow-length sleeves, and wide ties at front of waist."
https://www2.hm.com/en_us/productpage.1144747009.html,Puff-sleeved Crêped Dress,"Short dress in woven, crêped fabric. Sweetheart neckline, shaped cups, concealed zipper at one side, and a smocked section at back. Short puff sleeves and narrow elastic at front of neckline, over shoulders, and at cuffs. Gently flared skirt."
https://www2.hm.com/en_us/productpage.1148100003.html,Cotton Shorts,"Loose-fit shorts in woven, crinkled cotton fabric. High waist, elasticized, drawstring waistband, and discreet side pockets. Short slit at sides of hems."
https://www2.hm.com/en_us/productpage.1167768002.html,Sleeveless V-neck Dress,"Sleeveless, calf-length dress in a woven viscose blend. Narrow, adjustable shoulder straps, flounce-trimmed V-neck, and gathered seam below bust. Flared skirt with princess seams at back. Unlined."
https://www2.hm.com/en_us/productpage.1145337005.html,Wide-leg Linen-blend Pants,"Pants in an airy, woven linen and viscose blend with a high waist. Covered elastic at back of waistband, zip fly with concealed button and hook-and-eye fastener, and discreet side pockets. Wide, gently flared legs."
https://www2.hm.com/en_us/productpage.1136892003.html,Espadrille Slides,"Espadrille-style slides with a wide foot strap decorated with a chunky metal chain. Canvas lining and jute-trimmed, fluted soles. Sole thickness 1 in."
https://www2.hm.com/en_us/productpage.1157799002.html,Ribbed Modal-blend T-shirt,"Fitted T-shirt in soft, ribbed cotton and modal jersey with narrow trim at neckline. Straight-cut hem."
https://www2.hm.com/en_us/productpage.1134739001.html,Cotton Poplin Shirt,"Loose-fit shirt in crisp cotton poplin. Collar, buttons at front, and yoke at back. Patch chest pocket, dropped shoulders, and long sleeves with button at cuffs. Gently rounded hem."
https://www2.hm.com/en_us/productpage.1163120012.html,Oversized Printed T-shirt,Oversized T-shirt in soft cotton jersey with a printed motif at front. Ribbed neckline and dropped shoulders.
https://www2.hm.com/en_us/productpage.1152680005.html,Ribbed Dress,"Short, fitted, sleeveless dress in ribbed cotton jersey."
https://www2.hm.com/en_us/productpage.1177645001.html,Bandeau Dress,"Fitted, calf-length bandeau dress in soft cotton jersey Straight-cut hem with a slit at back."
https://www2.hm.com/en_us/productpage.1153934002.html,Crochet-look Skirt,"Fitted, calf-length skirt in a crochet-look knit with long fringe at hem. High waist, elasticized waistband, and a concealed zipper at one side. Unlined."
https://www2.hm.com/en_us/productpage.1192075001.html,Printed T-shirt Dress,"Short, loose-fit dress in soft cotton jersey with a printed motif at front and washed look. Round, ribbed neckline, heavily dropped shoulders, and elbow-length sleeves."
https://www2.hm.com/en_us/productpage.1041089002.html,Mom Loose Fit Ultra High Jeans,"Loose-fit, 5-pocket jeans in thick cotton denim. Extra-high waist, zip fly with button, and gently tapered, ankle-length legs."
https://www2.hm.com/en_us/productpage.1167210001.html,Satin slip dress,"Calf-length dress in softly draping satin with a square neckline, adjustable spaghetti shoulder straps and a concealed zip at one side. Visible seams over the bust and down the front and back. Fitted bodice and a gently flared skirt. Straight-cut hem. Jersey lining over the bust."
https://www2.hm.com/en_us/productpage.0922835031.html,90s Boyfriend Fit High Jeans,"Loose-fit, 5-pocket jeans in non-stretch cotton denim that feels firm at first, softening and relaxing with wear. High waist and button fly. Straight, regular-length legs, designed to fall at top of foot with little or no stacking. The denim update your wardrobe needs."
https://www2.hm.com/en_us/productpage.0993762001.html,Hooded Jacket,"Sweatshirt jacket with a lined, drawstring hood, zipper at front, and front pockets. Dropped shoulders, long sleeves, and ribbing at cuffs and hem. Soft, brushed inside."
https://www2.hm.com/en_us/productpage.1143708002.html,Linen-blend Pullover Shirt,"Loose-fit pullover shirt in an airy, woven linen and cotton blend. Collar, V-shaped opening, and double layers of fabric at front. Double-layered yoke at back with box pleat. Dropped shoulders and 3/4-length sleeves with button at cuffs. Straight-cut hem with short slit at sides."
https://www2.hm.com/en_us/productpage.1086131001.html,Pointed-collar Shirt,"Shirt in woven, gently textured fabric. Pointed collar, buttons at front, and yoke at back with a pleat. Long sleeves with button at cuffs. Rounded hem."
https://www2.hm.com/en_us/productpage.1152680001.html,Ribbed Dress,"Short, fitted, sleeveless dress in ribbed cotton jersey."
https://www2.hm.com/en_us/productpage.0928322001.html,Bikini Bottoms,Fully lined bikini bottoms with a regular waist and medium coverage at back.
https://www2.hm.com/en_us/productpage.1172181005.html,Rib-knit Bodycon Dress,"Fitted, sleeveless, calf-length dress in a soft rib knit. V-shaped neckline at front and back, fully-fashioned section at waist, and a straight hem."
